X,Y,Z,Yaw,Pitch,Roll
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,20,5,0
0,-0.09,0,19.664,4.916,0
0,-0.09,0,19.328,4.8319,0
0,-0.09,0,18.992,4.7479,0
0,-0.09,0,18.655,4.6639,0
0,-0.09,0,18.319,4.5798,0
0,-0.09,0,17.983,4.4958,0
0,-0.09,0,17.647,4.4118,0
0,-0.09,0,17.311,4.3277,0
0,-0.09,0,16.975,4.2437,0
0,-0.09,0,16.639,4.1597,0
0,-0.09,0,16.303,4.0756,0
0,-0.09,0,15.966,3.9916,0
0,-0.09,0,15.63,3.9076,0
0,-0.09,0,15.294,3.8235,0
0,-0.09,0,14.958,3.7395,0
0,-0.087273,0,14.622,3.6555,0
0,-0.084545,0,14.286,3.5714,0
0,-0.081818,0,13.95,3.4874,0
0,-0.079091,0,13.613,3.4034,0
0,-0.076364,0,13.277,3.3193,0
0,-0.073636,0,12.941,3.2353,0
0,-0.070909,0,12.605,3.1513,0
0,-0.068182,0,12.269,3.0672,0
0,-0.065455,0,11.933,2.9832,0
0,-0.062727,0,11.597,2.8992,0
0,-0.06,0,11.261,2.8151,0
0,-0.057273,0,10.924,2.7311,0
0,-0.054545,0,10.588,2.6471,0
0,-0.051818,0,10.252,2.563,0
0,-0.049091,0,9.916,2.479,0
0,-0.046364,0,9.5798,2.395,0
0,-0.043636,0,9.2437,2.3109,0
0,-0.040909,0,8.9076,2.2269,0
0,-0.038182,0,8.5714,2.1429,0
0,-0.035455,0,8.2353,2.0588,0
0,-0.032727,0,7.8992,1.9748,0
0,-0.03,0,7.563,1.8908,0
0,-0.027273,0,7.2269,1.8067,0
0,-0.024545,0,6.8908,1.7227,0
0,-0.021818,0,6.5546,1.6387,0
0,-0.019091,0,6.2185,1.5546,0
0,-0.016364,0,5.8824,1.4706,0
0,-0.013636,0,5.5462,1.3866,0
0,-0.010909,0,5.2101,1.3025,0
0,-0.0081818,0,4.8739,1.2185,0
0,-0.0054545,0,4.5378,1.1345,0
0,-0.0027273,0,4.2017,1.0504,0
0,3.47E-18,0,3.8655,0.96639,0
0,0.0027273,0,3.5294,0.88235,0
0,0.0054545,0,3.1933,0.79832,0
0,0.0081818,0,2.8571,0.71429,0
0,0.010909,0,2.521,0.63025,0
0,0.013636,0,2.1849,0.54622,0
0,0.016364,0,1.8487,0.46218,0
0,0.019091,0,1.5126,0.37815,0
0,0.021818,0,1.1765,0.29412,0
0,0.024545,0,0.84034,0.21008,0
0,0.027273,0,0.5042,0.12605,0
0,0.03,0,0.16807,0.042017,0
0,0.03,0,-0.16807,-0.042017,0
0.014643,0.03,0,-0.5042,-0.12605,0
0.029286,0.03,0,-0.84034,-0.21008,0
0.043929,0.03,0,-1.1765,-0.29412,0
0.058571,0.03,0,-1.5126,-0.37815,0
0.073214,0.03,0,-1.8487,-0.46218,0
0.087857,0.03,0,-2.1849,-0.54622,0
0.1025,0.03,0,-2.521,-0.63025,0
0.11714,0.03,0,-2.8571,-0.71429,0
0.13179,0.03,0,-3.1933,-0.79832,0
0.14643,0.03,0,-3.5294,-0.88235,0
0.16107,0.03,0,-3.8655,-0.96639,0
0.17571,0.03,0,-4.2017,-1.0504,0
0.19036,0.03,0,-4.5378,-1.1345,0
0.205,0.03,0,-4.8739,-1.2185,0
0.205,0.03,0,-5.2101,-1.3025,0
0.205,0.031364,0,-5.5462,-1.3866,0
0.205,0.032727,0,-5.8824,-1.4706,0
0.205,0.034091,0,-6.2185,-1.5546,0
0.205,0.035455,0,-6.5546,-1.6387,0
0.205,0.036818,0,-6.8908,-1.7227,0
0.205,0.038182,0,-7.2269,-1.8067,0
0.205,0.039545,0,-7.563,-1.8908,0
0.205,0.040909,0,-7.8992,-1.9748,0
0.205,0.042273,0,-8.2353,-2.0588,0
0.205,0.043636,0,-8.5714,-2.1429,0
0.205,0.045,0,-8.9076,-2.2269,0
0.205,0.046364,0,-9.2437,-2.3109,0
0.205,0.047727,0,-9.5798,-2.395,0
0.205,0.049091,0,-9.916,-2.479,0
0.205,0.050455,0,-10.252,-2.563,0
0.205,0.051818,0,-10.588,-2.6471,0
0.205,0.053182,0,-10.924,-2.7311,0
0.205,0.054545,0,-11.261,-2.8151,0
0.205,0.055909,0,-11.597,-2.8992,0
0.205,0.057273,0,-11.933,-2.9832,0
0.205,0.058636,0,-12.269,-3.0672,0
0.205,0.06,0,-12.605,-3.1513,0
0.205,0.061364,0,-12.941,-3.2353,0
0.205,0.062727,0,-13.277,-3.3193,0
0.205,0.064091,0,-13.613,-3.4034,0
0.205,0.065455,0,-13.95,-3.4874,0
0.205,0.066818,0,-14.286,-3.5714,0
0.205,0.068182,0,-14.622,-3.6555,0
0.205,0.069545,0,-14.958,-3.7395,0
0.205,0.070909,0,-15.294,-3.8235,0
0.205,0.072273,0,-15.63,-3.9076,0
0.205,0.073636,0,-15.966,-3.9916,0
